text,url
"A religious group in South Korea has been identified as a coronavirus hotbed, officials say, amid a sharp rise in confirmed cases in the country. The infections among members of the Shincheonji Church of Jesus, the Temple of the Tabernacle of the Testimony (Shincheonji) are linked to one woman. The sect in the city of Daegu accounts for 30 of 53 new cases, with officials warning of an unprecedented crisis. South Korea also confirmed its first death from the virus, named Covid-19. The coronavirus, which originated in China's Hubei province, causes pneumonia-like symptoms. China has now seen 2,118 deaths and recorded nearly 75,000 infections. On Thursday, Japan said two of its passengers who contracted the coronavirus on board quarantined cruise ship Diamond Princess had died. The man and the woman were in their 80s. What about the outbreak among sect members? South Korean health officials believe that the infections are linked to a 61-year-old woman who tested positive for the virus earlier this week. The Korean Centre for Disease Control says the woman - who has not been identified - had contact with 166 people, who were asked to self-quarantine. At least 30 of the new Covid-19 infections were on Thursday recorded among sect members in Daegu, a city of about 2.5 million people in the south-east. The Shincheonji, which has been accused of being a cult, said it had now shut down its Daegu branch and that services in other regions would be held online or individually at home. The mayor of the city has described the event as an ""unprecedented crisis"" and urged people in the city to stay indoors. Commanders on a nearby US military base also imposed access restrictions, news agency AFP reported. What is the Shincheonji? What's the overall picture in South Korea? The number of confirmed cases now stands at 104.  New cases were also reported in the capital Seoul and the nearby North Gyeongsang province. Meanwhile, the authorities revealed that a man died on Wednesday from pneumonia believed to have been caused by the coronavirus. The 63-year-old man - who has not been publicly named - died in hospital in the south-eastern city of Cheongdo. He was among 15 people at the hospital who had earlier tested positive for the virus.  The victim had been bedridden for more than 20 years at the hospital, Yonhap news agency reports. What's the latest from the Diamond Princess ship? The ocean liner was carrying 3,700 people in total and passengers who tested negative for the virus began leaving the ship on Wednesday after a 14-day quarantine.  Hundreds have now disembarked from the cruise liner docked in Yokohama. Others are set to leave over the next two days. More than 150 Australian passengers have already arrived in Darwin, where they will begin two weeks of quarantine.  The first batch of people from Hong Kong have also flown back to the city, where they will similarly be quarantined. UK Foreign Secretary Dominic Raab said Britons stranded on the ship would be able to board an evacuation flight home on Friday, as long as they were not showing symptoms of the virus.  Indonesia is also set to repatriate its citizens.  In other developments: And what about China? China reported 114 new deaths on Wednesday but the number of new infections recorded was 394 compared with 1,749 on Tuesday. There are more than 1,000 cases outside China, including on Diamond Princess and in Singapore, South Korea and Hong Kong.   Iran says two people infected with the virus have died in the city of Qom - the first reported deaths in the Middle East.  On Wednesday, Hong Kong said a 70-year-old man with underlying illnesses had become the territory's second fatality.  Japan has three deaths attributed to the virus, while France, the Philippines and Taiwan have each reported one death. ",https://www.bbc.co.uk/news/world-asia-51572137
"A prisoner at the centre of a coronavirus scare following his extradition from Thailand has admitted drugs charges. Mark Rumble was one of two inmates at HMP Bullingdon in Oxfordshire held in isolation earlier this month. The pair later tested negative for the illness. Rumble, 31, was extradited to the UK in January and tested for Covid-19. Judge Peter Ross said the defendant had been living ""the high life"" in Thailand before his arrest. Oxford Crown Court heard Rumble had been the second in command of a 15-strong crime gang and ""the immediate first lieutenant"" to gang leader Neil Wadley, who was jailed in 2016 for 17 years. The group, which operated in Oxford and Reading, had sourced cocaine from an Albanian organised crime gang and conspired to supply up to 7kg (15lbs) of that drug and 50kg (110lbs) of cannabis, prosecutor Michael Roques said. Rumble went to to Thailand just days before police arrested other members of the gang in 2015. Judge Ross said pictures published in the media had shown Rumble to be ""rather leading the high life whilst away from the jurisdiction"". He said: ""This is a man who, knowing he was sought by authorities, not only absented himself from the jurisdiction, but ensured he remained out of it for a very long time."" Christopher Blake, defending, told the court he had only been able to see his client on Wednesday because the prisoner had been ""at the heart of a coronavirus scare"". Rumble, formally of Didcot, admitted conspiracy to supply cocaine, cannabis and amphetamines, and possession of methoxetamine with intent to supply. He will be sentenced at a later date. ",https://www.bbc.co.uk/news/uk-england-oxfordshire-51573339
"A fast-moving virus known as the ""new coronavirus"" has infected thousands of Chinese citizens and spread to more than 25 countries. The respiratory infection, which has been given the official name Covid-19, has claimed more than 2,000 lives so far - more than the 774 killed in the 2003 Sars epidemic. The outbreak, originating in the Chinese city of Wuhan, has been declared a global emergency by the World Health Organization (WHO). Here are 10 maps and graphics that will help you understand what is going on. 1. There have been thousands of cases - the majority in China Across China, tens of thousands of people have been infected with the coronavirus, which causes pneumonia-like symptoms. Thousands more are under medical observation. Coronavirus: A visual guide to the outbreak Changes to the way patients were diagnosed briefly caused a spike in the figures, with a huge increase in the number of confirmed cases on 13 February.  The change allowed doctors in Hubei province - the centre of the outbreak - to diagnose Covid-19 and begin treatment before receiving a positive test result for the virus, as long as a medical assessment and a chest scan suggested the patient might be infected. This change was later reversed causing a dip in the number of cases recorded on 20 February.  On both occasions the province's health authorities confirmed they had revised existing data. This suggests many of the cases that caused the spike on 13 February were old cases being re-classified as coronavirus infections rather than new patients. Coronavirus: A visual guide to the outbreak A study of 44,000 cases of Covid-19 by Chinese health officials has found that more than 80% of the cases have been mild, with the sick and elderly most at risk. 4.7% of cases have been critical according to the study by the Chinese Centre for Disease Control and Prevention. According to Chinese officials more than 12,000 people have recovered from the virus.  2. Daily deaths have fallen back The number of deaths announced each day has returned to where is was before the recent change in diagnosis.  The change saw the number of daily deaths spike, but figures released by the Chinese authorities show the number has fallen back. Coronavirus has overtaken the 2003 Sars epidemic in both confirmed cases and deaths.  The Sars - severe acute respiratory syndrome - outbreak lasted around eight months and killed 774 people out of around 8,100 confirmed cases. 3. China introduced a number of measures to try to halt the virus's spread Tight restrictions to contain the disease remain in place in China, despite some workers heading back to their jobs last week following an extended Lunar New Year holiday. Authorities have cancelled flights, closed factories and schools and ordered some cities to go into lockdown in a bid to reduce infections. Many companies are opening a selected number of workplaces as well as limiting staff numbers and staggering working hours. Hubei province remains the worst affected, seeing by far the biggest number of cases of the virus as well as most of the deaths. Its capital city of Wuhan, home to 11 million people, remains in virtual lockdown, with its train stations and airports shut and roads sealed. The origins of the new coronavirus have been linked to illegally traded wildlife at Wuhan's seafood market, which sells live animals including bats, rabbits and marmots. However, the exact source of the outbreak has not been identified. Diary of a life in locked-down Wuhan 4.  Two dozen countries have also had cases The WHO declared the crisis a global health emergency on 30 January as a result of the virus's spread outside China. Infections have now been recorded in 27 countries including Japan, Thailand, the US, Canada, France, Germany and the UK. The majority of these cases are in people who had been to Wuhan. The largest outbreak outside China has been on a cruise ship docked in the Japanese port of Yokohama. Two people have died and more than 600 of the 3,700 people on the ship have been diagnosed with the virus - the largest cluster of cases outside China.  So far, there have been only eight other deaths outside mainland China - in Iran, France, Hong Kong, the Philippines, South Korea, Japan and Taiwan. A growing number of countries have advised their citizens to avoid all non-essential travel to China and many have announced screening measures for passengers arriving from the country.  Some countries have also been evacuating their citizens from Wuhan and placing them in quarantine to monitor them for symptoms and avoid contagion. The US has declared the outbreak a public health emergency and the UK has declared it a ""serious and imminent threat"" to public health, announcing new powers to fight its spread. The WHO has warned against closing borders, saying it would accelerate the spread of the virus if travellers started entering countries unofficially. 5. The symptoms are respiratory Coronaviruses are common, and typically cause mild respiratory conditions, such as a cough or runny nose. But some are more serious - such as the deadly Sars and Mers - Middle East respiratory syndrome.  This outbreak - known as Covid-19 - is a new strain that had not been previously identified in humans. It seems to start with a fever, followed by a dry cough and leads to shortness of breath after a week. But in more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.  A report on the early stages of the outbreak by the Lancet medical journal said most patients who died from the virus had pre-existing conditions. Medical researchers and scientists say it is too early to accurately predict how the virus will spread or calculate the death rate, partly due to mild cases remaining untested and unrecorded and a time lag of reporting infections. There is not yet a specific anti-viral treatment for coronavirus, so people with the infection are currently being treated for their symptoms. The existence of coronavirus was first flagged by a Chinese doctor in late December, but he was reprimanded by local police for ""spreading rumours"". Dr Li Wenliang, a 34-year-old ophthalmologist, has since died from the illness. His death was met with an intense outpouring of grief on Chinese social media as well as anger towards Chinese authorities. 6. You can do things to reduce your chances of catching it The WHO is advising people in affected areas to follow standard procedures to reduce the chance of catching the virus. They include hand and respiratory hygiene as well as safe food practices. People are advised to avoid close contact with people suffering from acute respiratory infections; wash hands regularly, especially after direct contact with ill people or their environment; and avoid unprotected contact with farm or wild animals. Avoiding eating raw or undercooked animal products is also advised. According to the WHO, although it may be possible that people with coronavirus may be infectious before showing significant symptoms, people showing symptoms are, so far, causing the majority of virus spread.  Those with symptoms should practise ""cough etiquette"", including maintaining distance, covering coughs and sneezes with disposable tissues or the inside of an elbow, and washing hands. In China, protective face masks are in widespread use - both among the general population and medical staff. Although virologists are sceptical about their effectiveness against airborne viruses, there is some evidence to suggest the masks can help prevent hand-to-mouth transmissions. Medical advice in China is to change masks regularly - as often as four times a day for medical teams - and Chinese authorities have appealed to other countries to help with supplies. Can wearing masks stop the spread of viruses? 7. If a case is suspected, there are processes to follow The Chinese government has classified the outbreak in the same category as the Sars epidemic.  This means people diagnosed with the virus in the country must be isolated and can be placed in quarantine. Within healthcare facilities, the WHO advises staff to implement enhanced standard infection prevention and control practices, especially in emergency departments. The WHO advises that patients should be assessed quickly and treated for the level of severity of the disease they have - mild, moderate, or severe. It also recommends immediately implementing infection prevention measures. These include staff wearing protective clothing and limiting patient movement around the hospital. In the UK, the Department of Health has declared the new coronavirus as a ""serious and imminent threat"" to public health, giving authorities in England new powers to keep people in quarantine. England's chief medical officer, Professor Chris Whitty, said the UK strategy was focussed on containment and isolation - and that work was under way to work out how to delay any potential outbreak in the UK. Arrowe Park Hospital, on the Wirral, and Kents Hill Park conference centre, in Milton Keynes, have been designated as ""isolation"" facilities in the UK. All but one of the nine people being treated for the coronavirus in the UK have now been discharged from hospital, after twice testing negative for the virus. All 94 people who were being quarantined at Arrowe Park Hospital have also left the site. More than 100 people are still in quarantine in Milton Keynes. British businessman Steve Walsh, one of the nine UK cases of coronavirus, left hospital last week having fully recovered. Mr Walsh contracted coronavirus on a business trip to Singapore and unknowingly passed it on to 11 other people - five of whom then returned to the UK. By Lucy Rodgers, Wesley Stephenson, Mike Hills, Mark Bryson and Irene de la Torre Arenas.",https://www.bbc.co.uk/news/world-51235105
"Two Japanese passengers who contracted the new coronavirus on board a cruise ship quarantined in Japan have died, officials say. Both were in their 80s with underlying health conditions. They were being treated in hospitals after being taken off the Diamond Princess last week.  At least 621 people on the ship tested positive for the virus, named Covid-19, the biggest cluster outside China.  Japan has defended its handling of the situation amid criticism. The coronavirus, which originated in China's Hubei province last year, causes pneumonia-like symptoms. Overall, there have now been 2,118 deaths and nearly 75,000 confirmed infections recorded in mainland China. On Thursday, South Korea confirmed its first coronavirus death. Japan's neighbour also reported a sharp rise in virus cases, most of them from a newly identified cluster at a large religious community. What is known about the two Japanese fatalities? The victims were an 87-year-old man and an 84-year-old woman, Japan's health ministry said. The man - from Kanagawa prefecture south of Tokyo - had had bronchial asthma and died from Covid-19.  The woman - from the capital - died from pneumonia believed to be caused by the coronavirus. The victims have not been publicly named. Japan's Health Minister Katsunobu Kato said they had been sent to medical facilities last week after showing symptoms. ""I believe they received the best possible treatment"", he said. What's the latest from the cruise ship? The Diamond Princess was carrying 3,700 people in total and passengers who tested negative for the virus began leaving the ship on Wednesday after a 14-day quarantine.  Hundreds have now disembarked from the cruise liner docked in Yokohama. Others are set to leave over the next two days. More than 150 Australian passengers have already arrived in Darwin, where they will begin two weeks of quarantine.  The first batch of people from Hong Kong have also flown back to the city, where they will similarly be quarantined. UK Foreign Secretary Dominic Raab said Britons stranded on the ship would be able to board an evacuation flight home on Friday, as long as they were not showing symptoms of the virus.  Indonesia is also set to repatriate its citizens.  In other developments: Why is Japan being criticised for its handling of the quarantine? Japanese health expert Kentaro Iwata, professor at the infectious diseases division of Kobe University, visited the Diamond Princess and said the situation on board was ""completely chaotic"". ""The cruise ship was completely inadequate in terms of infection control,"" he said in a widely shared YouTube video which he has since taken offline.  US officials have also said moves to contain the virus ""may not have been sufficient"". But on Thursday, Mr Kato responded to Mr Iwata's criticism, saying authorities had worked hard to deal with a very complicated situation. ""We've been doing our best in the circumstances,"" Mr Kato told Japanese lawmakers. ""Not only our officials at the health ministry but also Self-Defence Forces officials and medical officials are working desperately hard. ""We have specialists of infectious diseases [on the ship], and we get feedback from them about our operation every day, including dividing [the areas inside the ship]."" The health minister stressed that the cruise ship was ""not a well-established place such as a hospital"", and that the authorities ""kept correcting"" various problems on a daily basis. ""We have to examine and learn from this case because we think this is a global issue,"" Mr Kato said. On Wednesday, Japan's National Institute of Infectious Diseases (NIID) released its report, which pointed to ""clear evidence that substantial transmission of COVID-19 had been occurring prior to implementation of quarantine on Diamond Princess 5 February"". ""The decline in the number of confirmed cases, based on reported onset dates, implies that the quarantine intervention was effective in reducing transmission among passengers,"" the report said. What's the latest from China? China has seen a sharp drop in the number of new infections.  There were 394 new confirmed cases and 114 deaths reported on Wednesday, down from 1,749 new cases on Tuesday, the National Health Commission said. There are more than 1,000 cases outside of China, including on Diamond Princess and in Singapore, South Korea and Hong Kong.   Iran says two people infected with the virus have died in the city of Qom - the first reported deaths in the Middle East.  On Wednesday, Hong Kong said a 70-year-old man with underlying illnesses had become the territory's second fatality.  France, Japan, the Philippines and Taiwan have each had one death attributed to the virus. Sharp rise in South Korea South Korea on Thursday announced a jump of 31 confirmed Covid-19 infections - 23 of them from a newly identified cluster at a large religious community. South Korea now has a total of 82 confirmed cases.  The cluster is in the south-western city of Daegu - home to 2.5 million residents - and is believed to be linked to a 61-year-old woman who was confirmed to be infected earlier this week. The Korean Centre for Disease Control said the woman had had contact with 166 people, who were asked to self-quarantine, South Korea's Yonhap news agency reports.  The religious sect known as the Temple of the Tabernacle of the Testimony, which has been accused of being a cult, said it had shut down its Daegu branch and that services in other regions would be held online or individually at home.  The mayor of the city has described the event as an ""unprecedented crisis"" and urged people in the city to stay indoors. ",https://www.bbc.co.uk/news/world-asia-51568496
"A virus causing severe lung disease that started in China has spread to other countries, including the UK. The coronavirus had infected 74,651 people in China as of 20 February, with 2,120 of them dying. What are the symptoms? It seems to start with a fever, followed by a dry cough.  After a week, it leads to shortness of breath and some patients require hospital treatment. Notably, the infection rarely seems to cause a runny nose or sneezing. The incubation period -  between infection and showing any symptoms - lasts up to 14 days, according to the World Health Organization (WHO). But some researchers say it may be as long as 24 days. And Chinese scientists say some people may be infectious even before their symptoms appear. How deadly is the coronavirus? Based on data from 44,000 patients with this coronavirus, the WHO says: The proportion dying from the disease, which has been named Covid-19, appears low (between 1% and 2%) - but the figures are unreliable. Thousands are still being treated but may go on to die - so the death rate could be higher. But it is also unclear how many mild cases remain unreported - so the death rate could also be lower. To put this it into context, about one billion people catch influenza every year, with between 290,000 and 650,000 deaths. The severity of flu changes every year. Can coronavirus be treated or cured? Right now, treatment relies on the basics - keeping the patient's body going, including breathing support, until their immune system can fight off the virus. However, the work to develop a vaccine is under way and it is hoped there will be human trials before the end of the year. Hospitals are also testing anti-viral drugs to see if they have an impact. How can I protect myself? The WHO says: How fast is it spreading? Thousands of new cases are being reported each day. However, analysts believe the true scale could be 10 times larger than official figures. China, where the outbreak began, has seen a sharp drop in the number of new infections. There were 394 new confirmed cases and 114 deaths reported on Wednesday, down from 1,749 new cases on Tuesday, the National Health Commission said. The WHO says the outbreak, which it has declared a global emergency, can be contained.  But some experts, including a former head of the US Centers for Disease Control, say it could become a pandemic - a global epidemic. With colds and flu tending to spread fastest in the winter, there is hope the turning of the seasons may help stem the outbreak.  School holidays may also help to slow its spread. However, a different strain of coronavirus - Middle East respiratory syndrome - emerged in the summer, in Saudi Arabia, so there's no guarantee warmer weather will halt the outbreak. How did it start? This virus is not really ""new"" - it is just new to humans, having jumped from one species to another. Many of the early cases were linked to the South China Seafood Wholesale Market, in Wuhan.  In China, a lot of people come into close contact with animals harbouring viruses - and the country's dense urban population means the disease can be easily spread. Severe acute respiratory syndrome (Sars), which is also caused by a coronavirus, started off in bats and then infected the civet cat, which in turn passed it on to humans.  The Sars outbreak, which started in China in 2002, killed 774 of the 8,098 people infected. The current virus - one of seven types of coronavirus - does not seem to be mutating so far. But while it appears stable, this is something scientists will be watching closely. Follow James on Twitter. This explainer will be regularly updated to reflect the audience's questions about coronavirus. Details of how to get in touch are below.  What questions do you have about the coronavirus? In some cases your question will be published, displaying your name, age and location as you provide it, unless you state otherwise. Your contact details will never be published. Please ensure you have read our terms & conditions and privacy policy. Use this form to ask your question:  ",https://www.bbc.co.uk/news/health-51048366
"CONCORD, N.H. (AP) — New Hampshire public health officials are asking all travelers who have arrived in the state from China in the last 14 days to stay home and watch for symptoms of the Coronavirus.China’s death toll from the new virus rose to 259 on Saturday. The United States declared a public health emergency on Friday and President Donald Trump signed an order barring entry to foreign nationals who visited China within the last 14 days. The restrictions don’t apply to immediate family of American citizens and permanent residents. The New Hampshire Department of Health and Human Services said it will work with federal officials to implement the new monitoring program. It recommends those who previously arrived in New Hampshire from China stay home and watch for symptoms of fever or respiratory illness.",https://apnews.com/Coronavirus/b118518ec4d1e434b17135c04e195bd7
"A viral outbreak that began in China has infected more than 14,550 people globally. Cases confirmed as of Sunday morning in Beijing:— China: 14,380 cases on the mainland. In addition, Hong Kong has 14 cases and Macao has seven. Most of the 304 deaths have been in central Hubei province, where illnesses from the new type of coronavirus were first detected in December.— Thailand: 19— Japan: 20— Singapore: 18— South Korea: 15— Taiwan: 10— Malaysia: 8— Australia: 7— Germany: 8— United States: 8— France: 6— Vietnam: 6— Canada: 4— United Arab Emirates: 5— Russia: 2— Italy: 2— Britain: 2— Cambodia: 1— Finland: 1— India: 1— Philippines: 1 death, 1 additional case— Nepal: 1— Sri Lanka: 1— Sweden: 1— Spain 1",https://apnews.com/Coronavirus/a2ce1ce323858e798bb985b9ef242f32
"SAN FRANCISCO (AP) — Apple is temporarily closing its 42 stores in mainland China, one of its largest markets, as a new virus spreads rapidly and the death toll there rose to 259 on Saturday. The iPhone maker said in a statement it was closing stores, corporate offices and contact centers in China until Feb. 9 “out of an abundance of caution and based on the latest advice from leading health experts.” “Our thoughts are with the people most immediately affected by the coronavirus and with those working around the clock to study and contain it,” the statement said.Apple’s online store will remain open. China is the company’s third biggest market in terms of sales behind the United States and Europe and it is also where most iPhones and other devices are made. CEO Tim Cook told analysts on Tuesday that uncertainty due to the outbreak was keeping the Cupertino, California-based company from offering more specific guidance about its financial performance in the coming months after announcing results for the holiday shopping season that were far better than investors anticipated.That performance propelled Apple’s stock price to new highs earlier this week, but the escalating uncertainty about the situation in China quickly dampened spirits. Apple shares dropped 4% Friday to finish at $309.51.In a Saturday note, Wedbush Securities analyst Daniel Ives predicted the store closures will have a “negligible” impact on Apple, largely because consumers in mainland China will still be able to buy iPhones and other products through online channels. Even if the shutdown of the brick-and-mortar stores extends throughout the entire month of February, Ives predicted it would lower only lower Apple’s annual iPhone sales in that region by about 3%. Apple doesn’t disclose how many iPhones it sells in China, but the company generated nearly $44 billion in revenue from the country in its last fiscal year. Cook also said the company’s contractors in China have been forced to delay reopening factories that closed for the Lunar New Year holiday.Cook said the company was looking for ways to minimize supply disruptions. Some of its suppliers are in Hubei, the Chinese province at the center of the outbreak that’s been under lockdown for more than a week.",https://apnews.com/Coronavirus/bac0f4b76cf8bfe10204d132c6ddff81
"ALHAMBRA, Calif. (AP) — The rapid spread of a new virus from China has cast a pall across Chinese American communities, with people staying inside whenever possible, wearing medical masks when they must go out and canceling some celebrations for Lunar New Year, China’s biggest holiday.Those actions became the new normal this week, when the count neared 12,000 people infected by a new coronavirus that originated in China and spread to other countries. More than 250 have died in China. The precautions were on display Friday in a string of majority-Asian population cities in Southern California — Alhambra, San Gabriel and Arcadia — that are linked together just east of Los Angeles. “Business is way down. Everybody is staying inside and lots of people are wearing masks,” said Leo Peng at Beyond Services in Alhambra, a normally bustling business where people can notarize documents, get fingerprinted and use other services needed to obtain forms of identification. Peng himself says he has become diligent about washing his hands and is thinking about getting a mask, “although some people say they’re really not necessary.”Sitting just a few feet away at a computer terminal was Cynthia Bao, wearing a bright pink mask.“I never wear a mask, but I’m pregnant, and I don’t want to get the coronavirus or the flu or any virus,” she said. In San Francisco’s Chinatown, Hoa Nguyen and her husband were among the few people wearing masks as they waited at a bus stop carrying bags loaded with fruits and vegetables. “It’s better to be safe than sorry,” she said. “In Chinatown, there’s a higher chance you might come across someone who has traveled to China recently.”While people are taking personal precautions, organizers are going a step further by canceling Lunar New Year celebrations in parts of the U.S. Sponsors of Saturday’s annual festival in Alhambra announced they were postponing it indefinitely. The event normally draws thousands and shuts down the city’s main thoroughfare for blocks, featuring a parade, games, music, food booths and other events. Other cancellations include a Lunar New Year Temple Bazaar this weekend in Flushing, Queens, home to New York City’s largest Chinatown; a Lunar New Year celebration Saturday at a high school in Rockville, Maryland; a Chinese New Year Festival on Saturday at the University of Arizona in Tucson; and festivities Friday in the city of Elk Grove, outside Sacramento.San Francisco still plans to go along with its celebration on Feb. 8, though officials said they are closely monitoring the outbreak. Gregg Orton, national director of the Washington-based National Council of Asian Pacific Americans, said it’s understandable that events are being canceled out of an abundance of caution. “We want to take this seriously but we don’t want to fall back into racism and hysteria at the end of the day,” Orton said. “We’re all in this together.”In Alhambra, many people supported canceling the festival.“I think that’s a good idea until we see that the virus is gone,” said Richard Vu who repairs cellphones at a shop on the edge of the festival’s parade route. He said he’s trying to keep his distance from customers and uses hand sanitizer after handling each phone. He usually wears a mask, too, but forgot it Friday. When he tried to buy another at a pharmacy, he found they were sold out, a common experience that others cited.“They say they won’t have any more until March,” Vu said.Pharmacies in Manhattan’s Chinatown and other neighborhoods also have reported being out of masks.Officials gathered at a hotel in San Gabriel, a city neighboring Alhambra, said it’s important to take precautions but that people should not panic.“At this point, we are not in the same situation as China,” Dr. Munto Davis of the Los Angeles County Department of Public Health told reporters. “We do not have thousands of cases inside the United States.”There are seven cases: three in California, one in Washington state, one in Arizona and two in Chicago. Meanwhile, a main drag in Alhambra that is lined for miles with upscale restaurants, hipster bars and tea houses, was unusually quiet Friday. A sprawling parking lot, a difficult place to find a parking spot on any day, was only half-filled and business was slow at the huge 168 Market, part of a popular Asian chain of grocery stores. People seemed to be heeding the advice of medical professionals, being careful but not panicking while expressing hope that others wouldn’t blame every Asian person for the outbreak.“The racism has been something,” Bao said with disgust. “I sort of get it,” she added. “We’re Chinese, and we don’t know who has been to China and who hasn’t. But you don’t need to make remarks about it.”To which Peng added: “I hope everybody would work together and not discriminate against one group of people.” ___Associated Press reporters Daisy Nguyen in San Francisco and Terry Tang in Phoenix contributed to this story.",https://apnews.com/Coronavirus/c14aa16d2351f6e7a54c267f5772669b
"LONDON (AP) — The coronavirus-enforced suspension of soccer in China has led to Manchester United filling a void in its strike force.Odion Ighalo joined United on loan until the end of the season in May from Shanghai Greenland Shenhua just before the January transfer window closed on Friday night.United manager Ole Gunnar Solskjaer turned to the former Watford player while  scrambling to find a forward after Marcus Rashford with ruled out with a long-term injury. United had been trying to sign Josh King from Bournemouth but a deal couldn’t be struck.It is three years since Ighalo left England for China after scoring 39 goals in 100 appearances for Watford, with 20 coming in the second-tier Championship. He was African Cup of Nations top scorer last year with five goals in Nigeria’s run to third place.“He will come in and give us an option of a different type of center forward for the short spell he’s staying with us,” Solskjaer said. “A great lad and very professional, he will make the most of his time here.”The 30-year-old  Ighalo , who has also played in Norway, Italy and Spain, initially moved to China in 2017 to join  Changchun Yatai. Now he has to fly to northern England just as many airlines have canceled flights from  China in a bid to contain a virus that can cause fever, coughing, wheezing and pneumonia.Ighalo was available because the Chinese Football Association announced that all domestic matches of the 2020 season will be postponed in an effort to control the spread of the coronavirus that has claimed more than 200 lives. The Super League was due to run from Feb. 22 to Oct 31. A starting date for the new season has not yet been announced.Already this week, United completed the signing of attacking midfielder Bruno Fernandes from Sporting Lisbon in a deal that could be worth up to 80 million euros ($88 million).“We’ve followed him for years, but he has grown gradually in that period as well,” Solskjaer said. “More and more mature, more and more assured performances.“He’s a great leader of his team and, even with all the speculation that has been around him, probably every club in Europe linked with him, he’s stayed focused and played some fantastic football for Sporting.”United is still in contention for the four Champions League places despite an erratic season. The team is fifth in the Premier League, six points behind Chelsea with 14 games remaining. ARSENAL Portugal defender Cedric Soares joined Arsenal on loan from Southampton until the end of the season, when his contract will have expired at the south-coast club.WEST HAMWhile both Chelsea and Tottenham couldn’t find a suitable forward to bolster the squad, West Ham signed Jarrod Bowen from second-tier club Hull as the east London club scraps for Premier League survival as the clock ticked down the 2300 GMT transfer cutoff. The 23-year-old Bowen has scored 16 goals and has seven assists in 29 Championship games this season.LEICESTERCenter back Ryan Bennett joined third-place Leicester from Wolverhampton on loan until the end of the season, subject to Premier League approval.BRIGHTONAlexis MacAllister has been recalled by Brighton from his loan spell with Argentine club Boca Juniors. The 21-year-old midfielder is currently with Argentina’s under-23s in Colombia, taking part in the Tokyo Olympics qualifying tournament and has scored twice.SHEFFIELD UNITEDSheffield United has added five players in January after an impressive first half of the season has helped the Premier League newcomers to eighth place. The latest to join on loan for the rest of the campaign are Dutch forward Richairo Zivkovic from Chinese club Changchun Yatai and Greek defender Panos Retsos from German side Bayer Leverkusen. ___More AP soccer https://apnews.com/Soccer and https://twitter.com/AP_Sports",https://apnews.com/Coronavirus/1d6e3def5b5280684448f5110ef84b03
