id,type,time,author,author_id,re_tweeter,associated_tweet,text,links,hashtags,mentions,reply_count,favorite_count,retweet_count
1228112153888133120,tweet,1581639729000,MissTatiG,117313941,,1228112153888133120,Imagine being on a cruise ship that’s in the middle of the sea with the corona virus on board just waiting to fucking get you. Your a fucking sitting duck. I can imagine you don’t even want to move or breathe in any air in fear that you will get it.,[],[],[],0,0,0
1228112153183387648,tweet,1581639729000,Informedios,3130764539,,1228112153183387648,Este sitio web permite rastrear la propagación global del coronavirus de Wuhan en tiempo real https://grandesmedios.com/rastrear-propagacion-coronavirus/ …,['https://t.co/mjN0kFu2xu'],[],[],0,0,0
1228112149224009729,tweet,1581639728000,NachiiGoo,1192860973767499781,,1228112149224009729,-le tengo más miedo al tiro bajo que al coronavirus JJAJAJAJA https://twitter.com/SabGQu/status/1227342558784868352 …,['https://t.co/aczNVFCqm1'],[],[],0,0,0
1228112144186695686,tweet,1581639727000,WakeUpCanada1,794548575673978880,,1228112144186695686,#CORONAVIRUS https://www.theguardian.com/world/2020/feb/13/japan-reports-first-coronavirus-death-as-44-more-cases-confirmed-aboard-cruise-ship …,['https://t.co/LMjtTN1ARb'],['#CORONAVIRUS'],[],0,0,0
1228112137920425984,tweet,1581639725000,hamada54126707,1167904622834520064,,1228112137920425984,#coronavirus #quarantined #ChinaCoronaVirus #COVID2019 #COVID2019 #Hubei #WSJWhatsNowhttps://twitter.com/WSJ/status/1228106579209121792 …,['https://t.co/x3qJTgQxXX'],"['#coronavirus', '#quarantined', '#ChinaCoronaVirus', '#COVID2019', '#COVID2019', '#Hubei', '#WSJWhatsNow']",[],0,0,0
1228112132308426752,tweet,1581639724000,YoungAtlas11,38090180,,1228112132308426752,"Dont worry guys im sure alex jones has a testosterone boosting anti-coronavirus milkshake to sell us soon. Only then will we be safe.Trust the plan, and remember the past and future are happening at the same time.",[],[],[],0,0,0
1228112131897405441,tweet,1581639724000,Ardent_Grant,17429359,,1228112131897405441,GA Dept Public Health epidemiologist Cherie Drenzek said U.S. @CBP  reviewing airline passengers passports for China travel after #COVID2019 restrictions were instituted earlier this month.#WuhanVirus #gapol#coronavirushttps://www.ajc.com/news/close-200-georgia-residents-are-being-monitored-for-coronavirus/U343j1oHXVLPD6A2EvRO3I/ …,['https://t.co/ekgei4MMh9'],"['#COVID2019', '#WuhanVirus', '#gapol', '#coronavirus']",['@CBP'],0,0,0
1228112126469984262,tweet,1581639722000,richcoops76,1287296934,,1228036362131169280,Is this how Corona virus started?,[],[],[],0,0,0
1228112125966471169,tweet,1581639722000,mlnangalama,578353910,,1228112125966471169,http://dlvr.it/RQ0MjR Eunice Yoon@onlyyoontvDisinfection stations. Security guards in hazmat suits. Beijing today in its battle to beat the #coronavirus. #China @CNBCpic.twitter.com/o90Gs151ka,"['https://t.co/3ZMk8hXeN0', 'https://t.co/o90Gs151ka']","['#coronavirus', '#China']","['@onlyyoontv', '@CNBC']",0,0,0
1228112125702410242,tweet,1581639722000,finzine,748817972970463232,,1228112125702410242,$BARC $JPM Emerging-Market Bonds Have Edge Over Stocks on Coronavirus Risks via http://www.hvper.com/?ref=s,['https://t.co/dU2ohMsCEH'],[],"['@search?q=%24BARC&src=ctag', '@search?q=%24JPM&src=ctag']",0,0,0
